ip.src,ip.dst,tcp.srcport
192.168.18.4,192.168.18.1,54318
192.168.18.4,142.250.185.4,55725
192.168.18.4,192.168.18.1,62073
192.168.18.4,192.168.18.1,53458
192.168.18.4,192.168.18.1,59110
192.168.18.4,192.168.18.1,64214
192.168.18.4,192.168.18.1,59366
192.168.18.4,192.168.18.1,56108
192.168.18.4,142.250.184.163,56986
192.168.18.4,142.250.200.110,58345
192.168.18.4,142.251.140.230,58185
192.168.18.4,216.58.212.99,51029
192.168.18.4,192.168.18.1,49293
192.168.18.4,192.168.18.1,55798
192.168.18.4,216.58.215.174,52381
192.168.18.4,192.168.18.1,54129
192.168.18.4,192.168.18.1,61276
192.168.18.4,142.251.208.227,64099
192.168.18.4,192.168.18.1,55507
192.168.18.4,192.168.18.1,54255
192.168.18.4,192.168.18.1,59832
192.168.18.4,192.168.18.1,65071
192.168.18.4,192.168.18.1,52434
192.168.18.4,192.168.18.1,60173
192.168.18.4,142.251.17.94,62821
192.168.18.4,192.168.18.1,54083
192.168.18.4,192.168.18.1,60138
192.168.18.4,172.217.18.42,56197
192.168.18.4,192.168.18.1,50360
192.168.18.4,192.168.18.1,50608
192.168.18.4,192.168.18.1,54175
192.168.18.4,192.168.18.1,64535
192.168.18.4,192.168.18.1,52977
192.168.18.4,192.168.18.1,51481
192.168.18.4,192.168.18.1,52581
192.168.18.4,192.168.18.1,49160
192.168.18.4,192.168.18.1,57150
192.168.18.4,192.168.18.1,60804
192.168.18.4,142.251.17.94,52235
192.168.18.4,104.18.38.236,52236
192.168.18.4,192.168.18.1,64036
192.168.18.4,192.168.18.1,61461
192.168.18.4,192.168.18.1,61514
192.168.18.4,192.168.18.1,53935
192.168.18.4,192.168.18.1,54878
192.168.18.4,192.168.18.1,63284
192.168.18.4,192.168.18.1,64792
192.168.18.4,192.168.18.1,63328
192.168.18.4,192.168.18.1,55928
192.168.18.4,192.168.18.1,63258
192.168.18.4,192.168.18.1,52769
192.168.18.4,192.168.18.1,56671
192.168.18.4,192.168.18.1,63284
192.168.18.4,192.168.18.1,49594
192.168.18.4,192.168.18.1,58989
192.168.18.4,192.168.18.1,63121
192.168.18.4,192.168.18.1,60751
192.168.18.4,192.168.18.1,61391
192.168.18.4,192.168.18.1,65518
192.168.18.4,192.168.18.1,57014
192.168.18.4,142.251.140.246,49556
192.168.18.4,192.168.18.1,51359
192.168.18.4,192.168.18.1,62471
192.168.18.4,192.168.18.1,55385
192.168.18.4,192.168.18.1,58641
192.168.18.4,192.168.18.1,49622
192.168.18.4,192.168.18.1,49557
192.168.18.4,142.250.200.150,49973
192.168.18.4,192.168.18.1,57463
192.168.18.4,192.168.18.1,62815
192.168.18.4,192.168.18.1,50709
192.168.18.4,192.168.18.1,58618
192.168.18.4,142.250.184.162,54343
192.168.18.4,192.168.18.1,64446
192.168.18.4,192.168.18.1,61466
192.168.18.4,52.168.117.171,61467
192.168.18.4,192.168.18.1,50760
192.168.18.4,192.168.18.1,50361
192.168.18.4,192.168.18.1,64984
